Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer (1-4),Explanation,Difficulty,Subject,Chapter,Topic
A researcher examines how individuals adjust their goals after experiencing major life setbacks. This best reflects which characteristic of development?,Universality,Plasticity,Irreversibility,Determinism,2,Plasticity refers to the capacity for change and adaptation in response to life experiences and challenges.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
"Which concept emphasizes that development results from ongoing, bidirectional interactions between biology and environment?",Epigenesis,Reflex integration,Canalization,Maturation,1,Epigenesis highlights the continuous interaction between genetic and environmental influences shaping development.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A developmental psychologist studies how economic recession influences career decisions of young adults. This is best classified as:,Normative age-graded influence,Normative history-graded influence,Non-normative influence,Biological influence,2,Historical events affecting large groups at a specific time are normative history-graded influences.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A major limitation of longitudinal research is:,inability to study change over time,susceptibility to cohort effects,participant attrition and practice effects,lack of ecological validity,3,Longitudinal studies often face participant dropout and repeated testing effects over time.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
"When a child learns that birds have wings and later includes bats in the same category, this reflects:",accommodation,assimilation,equilibration,centration,2,Assimilation involves incorporating new information into existing cognitive schemas.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A theorist who explains behavior primarily through unconscious motivations and early childhood conflicts aligns with:,Cognitive theory,Psychoanalytic theory,Sociocultural theory,Ecological theory,2,Psychoanalytic theory emphasizes unconscious processes and early experiences.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which prenatal factor most strongly contributes to neural tube defects?,Excess iron,Lack of folic acid,High protein intake,Low glucose levels,2,Folic acid deficiency is strongly associated with neural tube defects.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
"A pregnant woman experiences chronic stress, leading to elevated cortisol levels. This may most directly affect the fetus by:",enhancing neural pruning,altering brain development,improving immune functioning,increasing birth weight,2,Elevated maternal stress hormones can disrupt fetal brain development.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A newborn turns its head toward a touch on the cheek. This reflex is:,Moro reflex,Babinski reflex,rooting reflex,sucking reflex,3,The rooting reflex helps infants locate food by turning toward cheek stimulation.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which condition is characterized by failure to thrive due to severe emotional neglect?,Teratogenic syndrome,Nonorganic failure to thrive,Sudden infant death syndrome,Neonatal jaundice,2,Emotional deprivation can lead to growth failure without medical cause.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
An infant repeatedly drops a spoon from a high chair to watch it fall. This behavior reflects:,tertiary circular reactions,primary circular reactions,reflexive schemes,symbolic play,1,Tertiary circular reactions involve experimenting with actions to observe new outcomes.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
The realization that objects continue to exist even when not perceived emerges toward the end of:,preoperational stage,sensorimotor stage,concrete operational stage,formal operational stage,2,Object permanence develops during the sensorimotor stage.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
"A toddler who uses two-word combinations like ""want milk"" is demonstrating:",holophrastic speech,telegraphic speech,babbling,echolalia,2,"Telegraphic speech consists of short, meaningful word combinations.",Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
"According to information-processing theory, improvement in children's thinking is largely due to:",stage transitions,increased processing efficiency,moral reasoning,unconscious drives,2,"Cognitive development is explained by improvements in attention, memory, and speed.",Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A caregiver consistently responds to an infant's needs in a timely and sensitive manner. This most likely promotes:,avoidant attachment,disorganized attachment,secure attachment,resistant attachment,3,Consistent and responsive caregiving fosters secure attachment.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A child insists that a toy animal is alive because it moves. This reflects:,conservation,animistic thinking,reversibility,seriation,2,Animism involves attributing life to inanimate objects.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
"When children focus on one aspect of a situation and ignore others, they demonstrate:",decentration,centration,classification,transitivity,2,Centration is focusing on a single dimension of a situation.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A teacher helps a child solve a puzzle by giving hints and gradually reducing assistance. This is an example of:,conditioning,scaffolding,reinforcement,extinction,2,Scaffolding involves guided support that is gradually withdrawn.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A child begins to understand that gender remains the same despite changes in appearance. This is:,gender identity,gender constancy,gender typing,gender schema,2,Gender constancy is the understanding that gender is stable over time.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A parenting style characterized by high warmth and low control is:,authoritarian,authoritative,permissive,neglectful,3,Permissive parenting is warm but lacks firm control or discipline.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A child becomes upset when excluded from a group activity. This reflects development in:,motor skills,emotional regulation,peer relations,sensory processing,3,Social exclusion directly involves peer interaction and reflects development in social relationships.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which cognitive ability improves significantly during middle childhood?,Reflexive behavior,Hypothetical reasoning,Logical operations on concrete objects,Magical thinking,3,Middle childhood is characterized by concrete operational thinking involving logical reasoning about tangible objects.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A child who understands that 5 + 3 = 8 and 8 - 3 = 5 demonstrates:,centration,reversibility,conservation,seriation,2,"Reversibility is the ability to mentally reverse operations, a key feature of concrete operational thought.",Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which factor most strongly predicts academic success in middle childhood?,Birth order,Parental income alone,Self-regulation and motivation,Physical strength,3,Self-regulation and motivation are strong predictors of academic achievement.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A child who is rejected by peers is most likely to exhibit:,high social competence,increased prosocial behavior,aggression or withdrawal,advanced moral reasoning,3,Peer rejection is often associated with maladaptive behaviors such as aggression or withdrawal.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Adolescents' tendency to believe their experiences are unique is called:,personal fable,imaginary audience,identity diffusion,moral relativism,1,Personal fable refers to the belief in one's uniqueness and invulnerability.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
The onset of puberty is triggered primarily by:,environmental stressors,activation of the hypothalamic-pituitary axis,peer influence,cognitive development,2,Hormonal activation of this axis initiates puberty.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Adolescents who can think about abstract ideals such as justice are demonstrating:,concrete operations,preoperational thinking,formal operational thinking,sensorimotor reasoning,3,Formal operations enable abstract and hypothetical reasoning.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A teenager who adopts parents' beliefs without exploration is in identity:,achievement,moratorium,foreclosure,diffusion,3,Foreclosure involves commitment without prior exploration.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which factor most increases risk for adolescent substance use?,Strong parental monitoring,Academic engagement,Association with deviant peers,High self-esteem,3,Peer influence is a major risk factor for substance use.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Emerging adulthood is often characterized by:,stability and commitment,exploration and instability,complete independence,fixed identity,2,This period involves identity exploration and instability in roles.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which factor contributes most to successful romantic relationships in early adulthood?,Physical attractiveness alone,Emotional communication,Financial status only,Cultural norms exclusively,2,Effective communication is key to relationship satisfaction.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Cognitive development in adulthood often involves:,decline in all abilities,increase in speed only,integration of experience and logic,elimination of emotion,3,Adult cognition integrates practical experience with logical reasoning.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which type of intelligence is most likely to decline with age?,Crystallized,Fluid,Practical,Emotional,2,Fluid intelligence declines earlier than crystallized intelligence.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A midlife adult mentoring younger colleagues demonstrates:,stagnation,disengagement,generativity,identity diffusion,3,Generativity involves contributing to the next generation.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which factor best predicts life satisfaction in middle adulthood?,Physical strength,Number of possessions,Quality of relationships,Educational attainment only,3,Strong interpersonal relationships are key to well-being.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Age-related loss of hearing is called:,presbyopia,presbycusis,cataract,glaucoma,2,Presbycusis refers to age-related hearing loss.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which theory suggests aging is programmed into genetic codes?,Wear-and-tear theory,Programmed aging theory,Activity theory,Disengagement theory,2,This theory proposes that aging follows a biological timetable.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Older adults often compensate for memory decline by:,avoiding tasks,using external aids,ignoring errors,reducing interaction,2,External aids help compensate for memory limitations.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which factor contributes most to successful aging?,Isolation,Passive lifestyle,Active engagement,Avoidance of change,3,Continued engagement supports well-being in old age.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A person reviewing life positively despite regrets is experiencing:,despair,stagnation,ego integrity,diffusion,3,Ego integrity reflects acceptance of one's life.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Grief that persists intensely over a long period may be classified as:,normative grief,anticipatory grief,complicated grief,acute grief,3,Complicated grief involves prolonged and intense distress.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which coping strategy is most adaptive after loss?,Denial indefinitely,Avoidance,Meaning-making,Suppression,3,Finding meaning supports emotional recovery.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A psychometrician is asked to independently diagnose a psychiatric disorder. The correct action is to:,proceed with diagnosis,consult a psychologist and limit role,ignore request,refer only after assessment,2,Diagnosis is beyond the independent scope of a psychometrician.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Administering a test without proper training violates:,beneficence,competence,confidentiality,autonomy,2,Ethical standards require proper training and qualification.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Sharing test items publicly compromises:,validity,reliability,test security,standardization,3,Public exposure of items compromises test integrity.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Informed consent requires:,full disclosure of procedures and risks,only verbal agreement,no explanation,assumption of understanding,1,Informed consent requires clear and complete explanation.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A psychometrician must refuse tasks that:,are routine,exceed competence,involve paperwork,require supervision,2,Professionals must not perform tasks beyond their expertise.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Keeping client records secure primarily supports:,efficiency,confidentiality,convenience,accessibility,2,Secure records protect client privacy.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A practitioner must clarify limits of confidentiality especially when:,working alone,conducting research,dealing with third-party requests,working with adults only,3,Third-party involvement requires clear boundaries of confidentiality.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
An adolescent who spends considerable time evaluating how others may judge appearance and behavior is most clearly demonstrating:,object permanence,imaginary audience,industry,selective optimization,2,Imaginary audience reflects adolescents' heightened self-consciousness and belief that others are constantly observing them.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A young person delays marriage and parenthood in order to explore educational and occupational options. This pattern is most characteristic of:,late adulthood,middle childhood,emerging adulthood,middle adulthood,3,Emerging adulthood is defined by exploration and delayed role commitments.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which situation best illustrates postformal thought?,A student insists that one formula solves every interpersonal problem,A worker recognizes that two conflicting viewpoints may both contain truth depending on context,A child sorts blocks by color only,An adolescent rejects all ambiguity in moral dilemmas,2,Postformal thought allows integration of multiple perspectives and acceptance of contradictions.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A newly married couple experiences conflict because one partner expects all household decisions to be shared while the other expects one person to lead. This is best understood as a difference in:,sensorimotor schemas,marital scripts and role expectations,reflex organization,psychomotor speed,2,Conflict arises from differing internalized expectations about roles in relationships.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which factor is most likely to strengthen identity development in emerging adulthood?,Foreclosure without exploration,Rigid dependence on parental choices,Opportunities for exploration with realistic commitment,Avoidance of major decisions indefinitely,3,Healthy identity formation requires both exploration and commitment.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A young adult selects a career based not only on salary but also on personal meaning and long-term values. This best reflects:,practical and reflective adult cognition,centration,delayed imitation,circular reaction,1,"Adult cognition integrates experience, values, and logic in decision-making.",Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which statement best describes the relationship between health behavior and development in young adulthood?,Health is determined almost entirely by heredity,Lifestyle choices can significantly shape present and future functioning,"Young adults are largely unaffected by sleep, diet, and exercise habits",Mental health is unrelated to physical health during this period,2,Health behaviors strongly influence long-term physical and psychological outcomes.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
"An individual who is highly skilled at interpreting social situations, regulating emotional responses, and responding appropriately is demonstrating:",fluid intelligence only,emotional intelligence,psychomotor efficiency,conservation ability,2,Emotional intelligence involves understanding and managing emotions in oneself and others.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
"In adult cognitive development, expertise is most likely to:",eliminate all age-related decline,compensate partly for slower processing in familiar domains,replace memory demands entirely,make practice unnecessary,2,Expertise helps maintain performance by relying on experience and efficient strategies.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
"A couple who can discuss disagreements openly, negotiate responsibilities, and adjust to changing demands are showing:",role confusion,high relationship competence,disengagement,identity diffusion,2,Effective communication and flexibility reflect strong relational functioning.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which statement about middle adulthood is most accurate?,All adults in midlife undergo a dramatic psychological crisis,"Midlife is shaped by individual, cultural, and contextual differences",Personality change completely stops by age 40,Family roles become developmentally unimportant by midlife,2,Midlife experiences vary widely depending on multiple personal and contextual factors.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A 48-year-old adult returns to graduate school while also supporting aging parents and an adolescent child. This scenario best illustrates:,age segregation,multidirectionality in development,reflex integration,preoperational thought,2,Development involves simultaneous gains and challenges across domains.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which physical change is more typical of middle adulthood than of earlier adulthood?,rapid gains in reaction time,improved sensory acuity,gradual decline in visual accommodation,total loss of reproductive concerns in all adults,3,Middle adulthood involves gradual sensory decline such as reduced near vision.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A midlife adult who reexamines life priorities after the death of a close friend and decides to focus more on meaningful relationships is showing:,identity process and life review at midlife,sensorimotor adaptation,egocentric reasoning,attachment disorganization,1,Midlife often involves reflection and reevaluation of goals and identity.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which characteristic is most associated with generativity?,Withdrawal from social contribution,Concern for guiding and supporting the next generation,Refusal to assume family or community roles,Exclusive focus on personal gratification,2,Generativity involves contributing to the well-being of future generations.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which factor is most strongly linked to well-being in long-term midlife relationships?,Constant idealization without conflict,Marital quality rather than marital status alone,Economic dependence only,Absence of all role strain,2,Relationship satisfaction predicts well-being more than marital status alone.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
An adult child begins to view a parent as a vulnerable older person rather than solely as an authority figure. This shift is most related to:,filial maturity,object constancy,gender typing,hypothetical-deductive reasoning,1,Filial maturity involves recognizing parents as individuals with needs and limitations.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which statement best reflects continuity theory in late adulthood?,Older adults function best when all previous roles are abandoned,Aging is easiest when familiar patterns of adaptation are maintained when possible,Social withdrawal is always biologically required,Successful aging requires identical lifestyles for all people,2,Continuity theory emphasizes maintaining consistent behaviors and roles.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
"A retired teacher joins community organizations, volunteers regularly, and maintains close friendships. This pattern most strongly supports:",disengagement theory,activity theory,psychosexual fixation,reflex theory,2,Active engagement in social roles promotes well-being in older adults.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Selective optimization with compensation is best illustrated by an older pianist who:,stops playing completely after noticing slower finger movement,practices shorter pieces more often and uses modified techniques to maintain performance,denies all change in ability,performs only unfamiliar works to increase stress tolerance,2,This model involves adapting strategies to maintain functioning despite decline.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which cognitive change is commonly associated with late adulthood?,uniform collapse of all knowledge systems,slower processing speed with preservation of some accumulated knowledge,disappearance of long-term memory,inability to solve any practical problem,2,Aging affects speed more than accumulated knowledge.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Wisdom is best conceptualized as:,rapid recall of isolated facts,highly efficient sensory processing,sound judgment about complex matters of life,freedom from emotional pain,3,"Wisdom involves insight, reflection, and balanced judgment.",Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which factor is most consistently associated with better adjustment in late adulthood?,complete dependence on others,strong social support and meaningful engagement,avoidance of all role changes,denial of health limitations,2,Social relationships are key predictors of successful aging.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
"A widowed older adult gradually reconstructs routines, maintains ties with family, and discovers new sources of meaning. This most clearly reflects:",adaptive coping after bereavement,unresolved object permanence,psychomotor compensation only,formal operational emergence,1,Adjustment after loss involves rebuilding routines and finding meaning.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which statement about grief is most accurate?,Everyone experiences grief in the same sequence and intensity,"Grief responses vary across persons, relationships, and cultural contexts",Grief is pathological unless completed within a fixed time,Emotional numbness is the only normal response to loss,2,Grief is individualized and culturally influenced.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
An adult who experiences sorrow after the death of a former spouse while also feeling relief after years of caregiving burden is showing:,invalid grief,disorganized attachment,ambivalent but normal bereavement reactions,absence of emotional involvement,3,Mixed emotions are normal in grief.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which situation best illustrates anticipatory grief?,A child mourns a pet years after its death,Family members begin emotional adjustment while a loved one is terminally ill,A widower avoids all reminders of the deceased,A teenager denies that death exists,2,Anticipatory grief occurs before actual loss.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
"A clinician helping a bereaved client identify values, maintain bonds through memory, and reconstruct purpose is most directly facilitating:",meaning-making,egocentrism,extinction,seriation,1,Meaning-making helps individuals adapt after loss.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which issue is most central in ethical discussions of end-of-life decision-making?,Whether infants can conserve quantity,"Balancing autonomy, dignity, and protection from harm",How to improve processing speed in late adulthood,Whether attachment is secure or avoidant,2,Ethical dilemmas involve balancing key principles.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A child begins to understand death as irreversible and universal. This reflects growth in:,moral disengagement,cognitive understanding of death,sensorimotor adaptation,social referencing,2,Children gradually develop mature concepts of death.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A psychometrician employed in a clinic is instructed to sign a report containing diagnostic conclusions beyond the psychometrician's lawful role. The most ethical response is to:,sign to preserve workplace harmony,sign if a supervisor verbally approves afterward,refuse to exceed role boundaries and elevate the concern appropriately,sign as long as the client will benefit,3,Professionals must practice within legal scope under RA 10029.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A practitioner is asked to administer a specialized neuropsychological instrument never previously studied or supervised. The best initial action is to:,administer it and learn during testing,decline or obtain proper training and supervision before use,let clerical staff conduct the procedure,interpret only high scores and omit weak areas,2,Competence is required before administering tests.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which action best reflects appropriate handling of confidential information?,Discussing a case in a public elevator without names,Sharing identifiable details in group chat for convenience,Limiting disclosure to what is necessary for authorized professional purposes,Forwarding full records to all referral sources automatically,3,Confidentiality requires minimal necessary disclosure.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A psychometrician conducting online assessment notices that the client is being coached off-camera by a relative. The best action is to:,ignore it to preserve rapport,continue and score normally,"address the concern, document the irregularity, and evaluate whether administration remains valid",delete the session without explanation,3,Integrity of testing must be maintained.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
"Under RA 10029-aligned practice, supervision is important primarily because it:",removes the need for competence,ensures tasks are performed within lawful and professional limits,transfers all responsibility to the supervisor,allows any delegated activity regardless of training,2,Supervision ensures ethical and legal compliance.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A practitioner realizes that fatigue and personal stress are affecting concentration during assessment work. The most ethical response is to:,proceed to avoid inconvenience,falsify confidence and continue,take appropriate steps to limit impairment and protect service quality,blame the client for poor cooperation,3,Practitioners must avoid impaired professional functioning.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which situation is the clearest example of a multiple relationship that may impair objectivity?,Conducting an intake interview with a stranger,Assessing one's romantic partner for a formal report,Referring a client to another clinic,Keeping professional notes in a secure file,2,Dual relationships impair objectivity and professionalism.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
"A school contracts a practitioner to assess a student for placement, and the parents assume the results are completely private from the school. The practitioner should first:",avoid clarifying anything until results are released,"clarify who the client is, the purpose of the service, who will receive the report, and confidentiality limits",guarantee absolute secrecy to the parents,send the full report to all teachers immediately,2,Clear informed consent requires understanding roles and limits.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which action most directly protects test security?,Posting sample secure items on social media for public education,Leaving protocols in an unlocked reception area,Restricting access to materials to qualified and authorized persons,Allowing examinees to photograph testing materials for review,3,Test security depends on controlled access.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A psychometrician is asked to provide emergency support during a disaster despite lacking full expertise in crisis intervention. Which response is most ethically appropriate?,Refuse all involvement under any circumstance,Provide limited assistance within closely related competence while facilitating referral and discontinuing once appropriate services are available,Offer long-term psychotherapy independently,Make diagnostic conclusions outside training because urgency permits anything,2,Limited emergency support within competence is ethically acceptable.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which statement best reflects ethical record-keeping?,Records should contain only positive findings,"Records should be accurate, secure, and maintained in a professionally responsible manner",Records are optional if rapport is good,Records may be altered later to match client preference,2,Proper documentation ensures accountability and ethical practice.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
"A practitioner is invited to advertise services by claiming guaranteed improvement and ""board-top caliber results."" The most ethical judgment is that this claim is:",acceptable if commonly used in marketing,acceptable if clients like the slogan,inappropriate because it is potentially deceptive and exaggerated,required to remain competitive,3,Ethical standards prohibit misleading claims.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which response best reflects fairness in addressing a colleague's possible ethical violation?,Filing a complaint recklessly without supporting facts,Ignoring the issue because confrontation is uncomfortable,"Responding with appropriate concern, evidence, and regard for due process",Publicly posting allegations online first,3,Ethical response requires fairness and proper procedure.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A practitioner receives a subpoena for client records. The best ethical principle is to:,release all information immediately without review,refuse all legal requests automatically,consider legal requirements carefully while limiting disclosure to what is necessary and justified,destroy the records to preserve confidentiality,3,Ethical practice balances legal compliance and confidentiality.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which action best demonstrates respect for informed consent?,Using technical language without checking comprehension,"Presenting procedures, risks, benefits, and limits in understandable terms before service delivery",Obtaining a signature after testing to save time,Assuming silence implies consent,2,Informed consent requires clear understanding before participation.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
"A practitioner uses client material in a lecture but removes the name only, leaving many identifying details. This is unethical because:",any teaching about cases is forbidden,disguising identity must be adequate to protect confidentiality,educational settings are exempt from ethical duties,names are the only protected identifiers,2,Confidentiality requires full de-identification.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which scenario best illustrates a conflict between organizational demand and professional ethics?,A clinic asks for exact test data release to unauthorized staff for convenience,A practitioner attends CPD training,A client asks about office hours,A supervisor requests punctual documentation,1,Organizational demands may conflict with ethical standards.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Continuing professional development is ethically important because it:,replaces formal training entirely,helps maintain competence in evolving areas of practice,applies only to researchers,is unrelated to license renewal and service quality,2,Ongoing education ensures updated knowledge and competence.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
A practitioner working with a minor should be especially attentive to:,eliminating assent procedures,obtaining no consent when parents are present,"explaining services appropriately, seeking assent when possible, and considering the child's welfare",treating the child exactly as a legally autonomous adult in all matters,3,Ethical practice with minors requires assent and protection of welfare.,Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
Which statement best captures the ethical foundation of professional psychological practice?,Personal opinion should override standards when intentions are good,"Competent care, integrity, respect for dignity, and responsibility to society guide conduct",Efficiency is always more important than confidentiality,Legal compliance alone is sufficient even when ethical reflection is absent,2,"Ethical practice is grounded in core professional principles of competence, integrity, and respect. DEVELOPMENTAL PSYCHOLOGY EXAM 10",Medium,Developmental Psychology,Chapter 9,Chapter 9 Set 9
